data,汇率
2020-05-22,7.1269
2020-05-23,7.1269
2020-05-24,7.1269
2020-05-25,7.1269
2020-05-26,7.1340
2020-05-27,7.1681
2020-05-28,7.1447
2020-05-29,7.1348
2020-05-30,7.1348
2020-05-31,7.1348
2020-06-01,7.1263
2020-06-02,7.0992
2020-06-03,7.1115
2020-06-04,7.1075
2020-06-05,7.0808
2020-06-06,7.0808
2020-06-07,7.0808
2020-06-08,7.0700
2020-06-09,7.0765
2020-06-10,7.0599
2020-06-11,7.0640
2020-06-12,7.0825
2020-06-13,7.0825
2020-06-14,7.0825
2020-06-15,7.0887
2020-06-16,7.0854
2020-06-17,7.0840
2020-06-18,7.0869
2020-06-19,7.0707
2020-06-20,7.0707
2020-06-21,7.0707
2020-06-22,7.0678
2020-06-23,7.0575
2020-06-24,7.0770
2020-06-25,7.0768
2020-06-26,7.0768
2020-06-27,7.0768
2020-06-28,7.0768
2020-06-29,7.0794
2020-06-30,7.0651
2020-07-01,7.0703
2020-07-02,7.0660
2020-07-03,7.0660
2020-07-04,7.0660
2020-07-05,7.0660
2020-07-06,7.0159
2020-07-07,7.0127
2020-07-08,7.0041
2020-07-09,6.9923
2020-07-10,6.9990
2020-07-11,6.9990
2020-07-12,6.9990
2020-07-13,6.9959
2020-07-14,7.0060
2020-07-15,6.9885
2020-07-16,6.9881
2020-07-17,6.9912
2020-07-18,6.9912
2020-07-19,6.9912
2020-07-20,6.9829
2020-07-21,6.9800
2020-07-22,6.9988
2020-07-23,7.0034
2020-07-24,7.0168
2020-07-25,7.0168
2020-07-26,7.0168
2020-07-27,6.9950
2020-07-28,6.9998
2020-07-29,7.0014
2020-07-30,7.0080
2020-07-31,6.9744
2020-08-01,6.9744
2020-08-02,6.9744
2020-08-03,6.9799
2020-08-04,6.9720
2020-08-05,6.9353
2020-08-06,6.9520
2020-08-07,6.9670
2020-08-08,6.9670
2020-08-09,6.9670
2020-08-10,6.9611
2020-08-11,6.9451
2020-08-12,6.9363
2020-08-13,6.9440
2020-08-14,6.9501
2020-08-15,6.9501
2020-08-16,6.9501
2020-08-17,6.9318
2020-08-18,6.9215
2020-08-19,6.9192
2020-08-20,6.9143
2020-08-21,6.9179
2020-08-22,6.9179
2020-08-23,6.9179
2020-08-24,6.9180
2020-08-25,6.9116
2020-08-26,6.8855
2020-08-27,6.8925
2020-08-28,6.8647
2020-08-29,6.8647
2020-08-30,6.8647
2020-08-31,6.8474
2020-09-01,6.8272
2020-09-02,6.8375
2020-09-03,6.8474
2020-09-04,6.8409
2020-09-05,6.8409
2020-09-06,6.8409
2020-09-07,6.8409
2020-09-08,6.8435
2020-09-09,6.8308
2020-09-10,6.8335
2020-09-11,6.8330
2020-09-12,6.8330
2020-09-13,6.8330
2020-09-14,6.8080
2020-09-15,6.7819
2020-09-16,6.7529
2020-09-17,6.7628
2020-09-18,6.7675
2020-09-19,6.7675
2020-09-20,6.7675
2020-09-21,6.8043
2020-09-22,6.7779
2020-09-23,6.8089
2020-09-24,6.8273
2020-09-25,6.8220
2020-09-26,6.8220
2020-09-27,6.8220
2020-09-28,6.8106
2020-09-29,6.8150
2020-09-30,6.7896
2020-10-01,6.7898
2020-10-02,6.7898
2020-10-03,6.7898
2020-10-04,6.7898
2020-10-05,6.7896
2020-10-06,6.7896
2020-10-07,6.7896
2020-10-08,6.7896
2020-10-09,6.6933
2020-10-10,6.6933
2020-10-11,6.6933
2020-10-12,6.6933
2020-10-13,6.7452
2020-10-14,6.7136
2020-10-15,6.7233
2020-10-16,6.6962
2020-10-17,6.6962
2020-10-18,6.6962
2020-10-19,6.6803
2020-10-20,6.6754
2020-10-21,6.6503
2020-10-22,6.6821
2020-10-23,6.6861
2020-10-24,6.6861
2020-10-25,6.6861
2020-10-26,6.7119
2020-10-27,6.7044
2020-10-28,6.7279
2020-10-29,6.7140
2020-10-30,6.6919
2020-10-31,6.6919
2020-11-01,6.6919
2020-11-02,6.6899
2020-11-03,6.6759
2020-11-04,6.6504
2020-11-05,6.6027
2020-11-06,6.6080
2020-11-07,6.6080
2020-11-08,6.6080
2020-11-09,6.6280
2020-11-10,6.6146
2020-11-11,6.6146
2020-11-12,6.6114
2020-11-13,6.6039
2020-11-14,6.6039
2020-11-15,6.6039
2020-11-16,6.5830
2020-11-17,6.5556
2020-11-18,6.5588
2020-11-19,6.5823
2020-11-20,6.5608
2020-11-21,6.5608
2020-11-22,6.5608
2020-11-23,6.5850
2020-11-24,6.5900
2020-11-25,6.5750
2020-11-26,6.5750
2020-11-27,6.5750
2020-11-28,6.5750
2020-11-29,6.5750
2020-11-30,6.5760
2020-12-01,6.5705
